"","PKDATAROWID","FLGEXKEL","FLGEXAUC","FLGEXSDE","FLGEXST","PKRCOM","PKPCOM","FLGTIME","TOLD1","TAU1","TOLD2","TAU2"
"1",1,1,0,0,0,NA,NA,0,0,10,10,14
"2",2,1,0,0,0,NA,NA,0,0,10,10,14
"3",3,1,0,0,0,NA,NA,0,0,10,10,14
"4",4,1,0,0,0,NA,NA,0,0,10,10,14
"5",5,1,0,0,0,NA,NA,0,0,10,10,14
"6",6,1,0,0,0,NA,NA,0,0,10,10,14
"7",7,1,0,0,0,NA,NA,0,0,10,10,14
"8",8,1,0,0,0,NA,NA,0,0,10,10,14
"9",9,1,0,0,0,NA,NA,0,0,10,10,14
"10",10,1,0,0,0,NA,NA,0,0,10,10,14
"11",11,1,0,0,0,NA,NA,0,0,10,10,14
"12",12,1,0,0,0,NA,NA,0,0,24,NA,NA
"13",13,1,0,0,0,NA,NA,0,0,24,NA,NA
"14",14,1,0,0,0,NA,NA,0,0,24,NA,NA
"15",15,1,0,0,0,NA,NA,0,0,24,NA,NA
"16",16,1,0,0,0,NA,NA,0,0,24,NA,NA
"17",17,1,0,0,0,NA,NA,0,0,24,NA,NA
"18",18,1,0,0,0,NA,NA,0,0,24,NA,NA
"19",19,1,0,0,0,NA,NA,0,0,24,NA,NA
"20",20,1,0,0,0,NA,NA,0,0,24,NA,NA
"21",21,1,0,0,0,NA,NA,0,0,24,NA,NA
"22",22,1,0,0,0,NA,NA,0,0,24,NA,NA
"23",23,1,0,0,0,NA,NA,0,0,24,NA,NA
"24",24,1,0,0,0,NA,NA,0,0,24,NA,NA
"25",25,1,0,0,0,NA,NA,0,0,24,NA,NA
"26",26,1,0,0,0,NA,NA,0,0,24,NA,NA
"27",27,1,0,0,0,NA,NA,0,0,24,NA,NA
"28",28,1,0,0,0,NA,NA,0,0,24,NA,NA
"29",29,1,0,0,0,NA,NA,0,0,24,NA,NA
"30",30,1,0,0,0,NA,NA,0,0,24,NA,NA
"31",31,1,0,0,0,NA,NA,0,0,24,NA,NA
"32",32,1,0,0,0,NA,NA,0,0,24,NA,NA
"33",33,1,0,0,0,NA,NA,0,0,24,NA,NA
"34",34,1,0,0,0,NA,NA,0,0,24,NA,NA
"35",35,1,0,0,0,NA,NA,0,0,24,NA,NA
"36",36,1,0,0,0,NA,NA,0,0,24,NA,NA
"37",37,1,0,0,0,NA,NA,0,0,24,NA,NA
"38",38,1,0,0,0,NA,NA,0,0,24,NA,NA
"39",39,1,0,0,0,NA,NA,0,0,24,NA,NA
"40",40,1,0,0,0,NA,NA,0,0,24,NA,NA
"41",41,1,0,0,0,NA,NA,0,0,24,NA,NA
"42",42,1,0,0,0,NA,NA,0,0,24,NA,NA
"43",43,1,0,0,0,NA,NA,0,0,24,NA,NA
"44",44,1,0,0,0,NA,NA,0,0,24,NA,NA
"45",45,1,0,0,0,NA,NA,0,0,24,NA,NA
"46",46,1,0,0,0,NA,NA,0,0,24,NA,NA
"47",47,1,0,0,0,NA,NA,0,0,24,NA,NA
"48",48,1,0,0,0,NA,NA,0,0,24,NA,NA
"49",49,1,0,0,0,NA,NA,0,0,24,NA,NA
"50",50,1,0,0,0,NA,NA,0,0,24,NA,NA
"51",51,1,0,0,0,NA,NA,0,0,24,NA,NA
"52",52,1,0,0,0,NA,NA,0,0,24,NA,NA
"53",53,1,0,0,0,NA,NA,0,0,24,NA,NA
"54",54,1,0,0,0,NA,NA,0,0,24,NA,NA
"55",55,1,0,0,0,NA,NA,0,0,24,NA,NA
"56",56,1,0,0,0,NA,NA,0,0,10,10,14
"57",57,1,0,0,0,NA,NA,0,0,10,10,14
"58",58,1,0,0,0,NA,NA,0,0,10,10,14
"59",59,1,0,0,0,NA,NA,0,0,10,10,14
"60",60,1,0,0,0,NA,NA,0,0,10,10,14
"61",61,1,0,0,0,NA,NA,0,0,10,10,14
"62",62,1,0,0,0,NA,NA,0,0,10,10,14
"63",63,1,0,0,0,NA,NA,0,0,10,10,14
"64",64,1,0,0,0,NA,NA,0,0,10,10,14
"65",65,1,0,0,0,NA,NA,0,0,10,10,14
"66",66,1,0,0,0,NA,NA,0,0,10,10,14
"67",67,1,0,0,0,NA,NA,0,0,24,NA,NA
"68",68,1,0,0,0,NA,NA,0,0,24,NA,NA
"69",69,1,0,0,0,NA,NA,0,0,24,NA,NA
"70",70,1,0,0,0,NA,NA,0,0,24,NA,NA
"71",71,1,0,0,0,NA,NA,0,0,24,NA,NA
"72",72,1,0,0,0,NA,NA,0,0,24,NA,NA
"73",73,1,0,0,0,NA,NA,0,0,24,NA,NA
"74",74,1,0,0,0,NA,NA,0,0,24,NA,NA
"75",75,1,0,0,0,NA,NA,0,0,24,NA,NA
"76",76,1,0,0,0,NA,NA,0,0,24,NA,NA
"77",77,1,0,0,0,NA,NA,0,0,24,NA,NA
"78",78,1,0,0,0,NA,NA,0,0,24,NA,NA
"79",79,1,0,0,0,NA,NA,0,0,24,NA,NA
"80",80,1,0,0,0,NA,NA,0,0,24,NA,NA
"81",81,1,0,0,0,NA,NA,0,0,24,NA,NA
"82",82,1,0,0,0,NA,NA,0,0,24,NA,NA
"83",83,1,0,0,0,NA,NA,0,0,24,NA,NA
"84",84,1,0,0,0,NA,NA,0,0,24,NA,NA
"85",85,1,0,0,0,NA,NA,0,0,24,NA,NA
"86",86,1,0,0,0,NA,NA,0,0,24,NA,NA
"87",87,1,0,0,0,NA,NA,0,0,24,NA,NA
"88",88,1,0,0,0,NA,NA,0,0,24,NA,NA
"89",89,1,0,0,0,NA,NA,0,0,24,NA,NA
"90",90,1,0,0,0,NA,NA,0,0,24,NA,NA
"91",91,1,0,0,0,NA,NA,0,0,24,NA,NA
"92",92,1,0,0,0,NA,NA,0,0,24,NA,NA
"93",93,1,0,0,0,NA,NA,0,0,24,NA,NA
"94",94,1,0,0,0,NA,NA,0,0,24,NA,NA
"95",95,1,0,0,0,NA,NA,0,0,24,NA,NA
"96",96,1,0,0,0,NA,NA,0,0,24,NA,NA
"97",97,1,0,0,0,NA,NA,0,0,24,NA,NA
"98",98,1,0,0,0,NA,NA,0,0,24,NA,NA
"99",99,1,0,0,0,NA,NA,0,0,24,NA,NA
"100",100,1,0,0,0,NA,NA,0,0,24,NA,NA
"101",101,1,0,0,0,NA,NA,0,0,24,NA,NA
"102",102,1,0,0,0,NA,NA,0,0,24,NA,NA
"103",103,1,0,0,0,NA,NA,0,0,24,NA,NA
"104",104,1,0,0,0,NA,NA,0,0,24,NA,NA
"105",105,1,0,0,0,NA,NA,0,0,24,NA,NA
"106",106,1,0,0,0,NA,NA,0,0,24,NA,NA
"107",107,1,0,0,0,NA,NA,0,0,24,NA,NA
"108",108,1,0,0,0,NA,NA,0,0,24,NA,NA
"109",109,1,0,0,0,NA,NA,0,0,24,NA,NA
"110",110,1,0,0,0,NA,NA,0,0,24,NA,NA
"111",111,1,0,0,0,NA,NA,0,0,10,10,14
"112",112,1,0,0,0,NA,NA,0,0,10,10,14
"113",113,1,0,0,0,NA,NA,0,0,10,10,14
"114",114,1,0,0,0,NA,NA,0,0,10,10,14
"115",115,1,0,0,0,NA,NA,0,0,10,10,14
"116",116,1,0,0,0,NA,NA,0,0,10,10,14
"117",117,1,0,0,0,NA,NA,0,0,10,10,14
"118",118,1,0,0,0,NA,NA,0,0,10,10,14
"119",119,1,0,0,0,NA,NA,0,0,10,10,14
"120",120,1,0,0,0,NA,NA,0,0,10,10,14
