PKDATAROWID,FLGEXKEL,FLGEXAUC,FLGEXSDE,FLGEXST,PKRCOM,PKPCOM,FLGTIME,FLGEXKELprev,FLGEXSDEprev,FLGEXAUCprev,FLGEXSTprev
1,1,0,0,0,"","","NOMINAL",1,,,
2,1,0,0,0,"","","NOMINAL",1,,,
3,1,0,0,0,"","","NOMINAL",1,,,
4,1,0,0,0,"","","NOMINAL",1,,,
5,1,0,0,0,"","","NOMINAL",1,,,
6,1,0,0,0,"","","NOMINAL",1,,,
7,1,0,0,0,"","","NOMINAL",1,,,
8,1,0,0,0,"","","NOMINAL",1,,,
9,1,0,0,0,"","","NOMINAL",1,,,
10,0,0,0,0,"","","NOMINAL",0,,,
11,0,0,0,0,"","","NOMINAL",0,,,
12,0,0,0,0,"","","NOMINAL",0,,,
13,0,0,0,0,"","","NOMINAL",0,,,
14,0,0,0,0,"","","NOMINAL",0,,,
15,0,0,0,0,"","","NOMINAL",0,,,
16,1,0,0,0,"","","NOMINAL",,,,
17,1,0,0,0,"","","NOMINAL",,,,
18,1,0,0,0,"","","NOMINAL",,,,
19,1,0,0,0,"","","NOMINAL",1,,,
20,1,0,0,0,"","","NOMINAL",1,,,
21,1,0,0,0,"","","NOMINAL",1,,,
22,1,0,0,0,"","","NOMINAL",1,,,
23,1,0,0,0,"","","NOMINAL",1,,,
24,1,0,0,0,"","","NOMINAL",1,,,
25,1,0,0,0,"","","NOMINAL",1,,,
26,1,0,0,0,"","","NOMINAL",1,,,
27,1,0,0,0,"","","NOMINAL",1,,,
28,0,0,0,0,"","","NOMINAL",0,,,
29,0,0,0,0,"","","NOMINAL",0,,,
30,0,0,0,0,"","","NOMINAL",0,,,
31,0,0,0,0,"","","NOMINAL",0,,,
32,1,0,0,0,"","","NOMINAL",,,,
33,1,0,0,0,"","","NOMINAL",,,,
34,1,0,0,0,"","","NOMINAL",,,,
35,1,0,0,0,"","","NOMINAL",,,,
36,1,0,0,0,"","","NOMINAL",,,,
37,1,0,0,0,"","","NOMINAL",1,,,
38,1,0,0,0,"","","NOMINAL",1,,,
39,1,0,0,0,"","","NOMINAL",1,,,
40,1,0,0,0,"","","NOMINAL",1,,,
41,1,0,0,0,"","","NOMINAL",1,,,
42,1,0,0,0,"","","NOMINAL",1,,,
43,1,0,0,0,"","","NOMINAL",1,,,
44,1,0,0,0,"","","NOMINAL",1,,,
45,1,0,0,0,"","","NOMINAL",1,,,
46,0,0,0,0,"","","NOMINAL",0,,,
47,0,0,0,0,"","","NOMINAL",0,,,
48,0,0,0,0,"","","NOMINAL",0,,,
49,0,0,0,0,"","","NOMINAL",0,,,
50,0,0,0,0,"","","NOMINAL",0,,,
51,0,0,0,0,"","","NOMINAL",0,,,
52,1,0,0,0,"","","NOMINAL",,,,
53,1,0,0,0,"","","NOMINAL",,,,
54,1,0,0,0,"","","NOMINAL",,,,
55,1,0,0,0,"","","NOMINAL",,,,
56,1,0,0,0,"","","NOMINAL",,,,
57,1,0,0,0,"","","NOMINAL",,,,
58,1,0,0,0,"","","NOMINAL",,,,
59,1,0,0,0,"","","NOMINAL",,,,
60,1,0,0,0,"","","NOMINAL",,,,
61,1,0,0,0,"","","NOMINAL",,,,
62,1,0,0,0,"","","NOMINAL",,,,
63,1,0,0,0,"","","NOMINAL",,,,
64,0,0,0,0,"","","NOMINAL",,,,
65,0,0,0,0,"","","NOMINAL",,,,
66,0,0,0,0,"","","NOMINAL",,,,
67,0,0,0,0,"","","NOMINAL",,,,
68,0,0,0,0,"","","NOMINAL",,,,
69,0,0,0,0,"","","NOMINAL",,,,
70,1,0,0,0,"","","NOMINAL",,,,
71,1,0,0,0,"","","NOMINAL",,,,
72,1,0,0,0,"","","NOMINAL",,,,
73,1,0,0,0,"","","NOMINAL",1,,,
74,1,0,0,0,"","","NOMINAL",1,,,
75,1,0,0,0,"","","NOMINAL",1,,,
76,1,0,0,0,"","","NOMINAL",1,,,
77,1,0,0,0,"","","NOMINAL",1,,,
78,1,0,0,0,"","","NOMINAL",1,,,
79,1,0,0,0,"","","NOMINAL",1,,,
80,1,0,0,0,"","","NOMINAL",1,,,
81,1,0,0,0,"","","NOMINAL",1,,,
82,0,0,0,0,"","","NOMINAL",0,,,
83,0,0,0,0,"","","NOMINAL",0,,,
84,0,0,0,0,"","","NOMINAL",0,,,
85,0,0,0,0,"","","NOMINAL",0,,,
86,1,0,0,0,"","","NOMINAL",,,,
87,1,0,0,0,"","","NOMINAL",,,,
88,1,0,0,0,"","","NOMINAL",,,,
89,1,0,0,0,"","","NOMINAL",,,,
90,1,0,0,0,"","","NOMINAL",,,,
91,1,0,0,0,"","","NOMINAL",1,,,
92,1,0,0,0,"","","NOMINAL",1,,,
93,1,0,0,0,"","","NOMINAL",1,,,
94,1,0,0,0,"","","NOMINAL",1,,,
95,1,0,0,0,"","","NOMINAL",1,,,
96,1,0,0,0,"","","NOMINAL",1,,,
97,1,0,0,0,"","","NOMINAL",1,,,
98,1,0,0,0,"","","NOMINAL",1,,,
99,1,0,0,0,"","","NOMINAL",1,,,
100,1,0,0,0,"","","NOMINAL",,,,
101,1,0,0,0,"","","NOMINAL",,,,
102,1,0,0,0,"","","NOMINAL",,,,
103,1,0,0,0,"","","NOMINAL",,,,
104,1,0,0,0,"","","NOMINAL",,,,
105,1,0,0,0,"","","NOMINAL",,,,
106,1,0,0,0,"","","NOMINAL",,,,
107,1,0,0,0,"","","NOMINAL",,,,
108,1,0,0,0,"","","NOMINAL",,,,
109,1,0,0,0,"","","NOMINAL",1,,,
110,1,0,0,0,"","","NOMINAL",1,,,
111,1,0,0,0,"","","NOMINAL",1,,,
112,1,0,0,0,"","","NOMINAL",1,,,
113,1,0,0,0,"","","NOMINAL",1,,,
114,1,0,0,0,"","","NOMINAL",1,,,
115,1,0,0,0,"","","NOMINAL",1,,,
116,1,0,0,0,"","","NOMINAL",1,,,
117,1,0,0,0,"","","NOMINAL",1,,,
118,0,0,0,0,"","","NOMINAL",0,,,
119,0,0,0,0,"","","NOMINAL",0,,,
120,0,0,0,0,"","","NOMINAL",0,,,
121,0,0,0,0,"","","NOMINAL",0,,,
122,0,0,0,0,"","","NOMINAL",0,,,
123,1,0,0,0,"","","NOMINAL",,,,
124,1,0,0,0,"","","NOMINAL",,,,
125,1,0,0,0,"","","NOMINAL",,,,
126,1,0,0,0,"","","NOMINAL",,,,
127,1,0,0,0,"","","NOMINAL",1,,,
128,1,0,0,0,"","","NOMINAL",1,,,
129,1,0,0,0,"","","NOMINAL",1,,,
130,1,0,0,0,"","","NOMINAL",1,,,
131,1,0,0,0,"","","NOMINAL",1,,,
132,1,0,0,0,"","","NOMINAL",1,,,
133,1,0,0,0,"","","NOMINAL",1,,,
134,1,0,0,0,"","","NOMINAL",1,,,
135,1,0,0,0,"","","NOMINAL",1,,,
136,0,0,0,0,"","","NOMINAL",0,,,
137,0,0,0,0,"","","NOMINAL",0,,,
138,0,0,0,0,"","","NOMINAL",0,,,
139,0,0,0,0,"","","NOMINAL",0,,,
140,0,0,0,0,"","","NOMINAL",0,,,
141,1,0,0,0,"","","NOMINAL",,,,
142,1,0,0,0,"","","NOMINAL",,,,
143,1,0,0,0,"","","NOMINAL",,,,
144,1,0,0,0,"","","NOMINAL",,,,
145,1,0,0,0,"","","NOMINAL",1,,,
146,1,0,0,0,"","","NOMINAL",1,,,
147,1,0,0,0,"","","NOMINAL",1,,,
148,1,0,0,0,"","","NOMINAL",1,,,
149,1,0,0,0,"","","NOMINAL",1,,,
150,1,0,0,0,"","","NOMINAL",1,,,
151,1,0,0,0,"","","NOMINAL",1,,,
152,1,0,0,0,"","","NOMINAL",1,,,
153,1,0,0,0,"","","NOMINAL",1,,,
154,0,0,0,0,"","","NOMINAL",0,,,
155,0,0,0,0,"","","NOMINAL",0,,,
156,0,0,0,0,"","","NOMINAL",0,,,
157,0,0,0,0,"","","NOMINAL",0,,,
158,0,0,0,0,"","","NOMINAL",0,,,
159,0,0,0,0,"","","NOMINAL",0,,,
160,1,0,0,0,"","","NOMINAL",,,,
161,1,0,0,0,"","","NOMINAL",,,,
162,1,0,0,0,"","","NOMINAL",,,,
163,1,0,0,0,"","","NOMINAL",1,,,
164,1,0,0,0,"","","NOMINAL",1,,,
165,1,0,0,0,"","","NOMINAL",1,,,
166,1,0,0,0,"","","NOMINAL",1,,,
167,1,0,0,0,"","","NOMINAL",1,,,
168,1,0,0,0,"","","NOMINAL",1,,,
169,1,0,0,0,"","","NOMINAL",1,,,
170,1,0,0,0,"","","NOMINAL",1,,,
171,1,0,0,0,"","","NOMINAL",1,,,
172,0,0,0,0,"","","NOMINAL",0,,,
173,0,0,0,0,"","","NOMINAL",0,,,
174,0,0,0,0,"","","NOMINAL",0,,,
175,1,0,0,0,"","","NOMINAL",,,,
176,1,0,0,0,"","","NOMINAL",,,,
177,1,0,0,0,"","","NOMINAL",,,,
178,1,0,0,0,"","","NOMINAL",,,,
179,1,0,0,0,"","","NOMINAL",,,,
180,1,0,0,0,"","","NOMINAL",,,,
181,1,0,0,0,"","","NOMINAL",1,,,
182,1,0,0,0,"","","NOMINAL",1,,,
183,1,0,0,0,"","","NOMINAL",1,,,
184,1,0,0,0,"","","NOMINAL",1,,,
185,1,0,0,0,"","","NOMINAL",1,,,
186,1,0,0,0,"","","NOMINAL",1,,,
187,1,0,0,0,"","","NOMINAL",1,,,
188,1,0,0,0,"","","NOMINAL",1,,,
189,1,0,0,0,"","","NOMINAL",1,,,
190,0,0,0,0,"","","NOMINAL",0,,,
191,0,0,0,0,"","","NOMINAL",0,,,
192,0,0,0,0,"","","NOMINAL",0,,,
193,0,0,0,0,"","","NOMINAL",0,,,
194,0,0,0,0,"","","NOMINAL",0,,,
195,0,0,0,0,"","","NOMINAL",0,,,
196,0,0,0,0,"","","NOMINAL",0,,,
197,1,0,0,0,"","","NOMINAL",,,,
198,1,0,0,0,"","","NOMINAL",,,,
199,1,0,0,0,"","","NOMINAL",1,,,
200,1,0,0,0,"","","NOMINAL",1,,,
201,1,0,0,0,"","","NOMINAL",1,,,
202,1,0,0,0,"","","NOMINAL",1,,,
203,1,0,0,0,"","","NOMINAL",1,,,
204,1,0,0,0,"","","NOMINAL",1,,,
205,1,0,0,0,"","","NOMINAL",1,,,
206,1,0,0,0,"","","NOMINAL",1,,,
207,1,0,0,0,"","","NOMINAL",1,,,
208,0,0,0,0,"","","NOMINAL",0,,,
209,0,0,0,0,"","","NOMINAL",0,,,
210,0,0,0,0,"","","NOMINAL",0,,,
211,0,0,0,0,"","","NOMINAL",0,,,
212,0,0,0,0,"","","NOMINAL",0,,,
213,0,0,0,0,"","","NOMINAL",0,,,
214,0,0,0,0,"","","NOMINAL",0,,,
215,1,0,0,0,"","","NOMINAL",,,,
216,1,0,0,0,"","","NOMINAL",,,,
217,1,0,0,0,"","","NOMINAL",1,,,
218,1,0,0,0,"","","NOMINAL",1,,,
219,1,0,0,0,"","","NOMINAL",1,,,
220,1,0,0,0,"","","NOMINAL",1,,,
221,1,0,0,0,"","","NOMINAL",1,,,
222,1,0,0,0,"","","NOMINAL",1,,,
223,1,0,0,0,"","","NOMINAL",1,,,
224,1,0,0,0,"","","NOMINAL",1,,,
225,1,0,0,0,"","","NOMINAL",1,,,
226,0,0,0,0,"","","NOMINAL",0,,,
227,0,0,0,0,"","","NOMINAL",0,,,
228,0,0,0,0,"","","NOMINAL",0,,,
229,0,0,0,0,"","","NOMINAL",0,,,
230,0,0,0,0,"","","NOMINAL",0,,,
231,0,0,0,0,"","","NOMINAL",0,,,
232,0,0,0,0,"","","NOMINAL",0,,,
233,1,0,0,0,"","","NOMINAL",,,,
234,1,0,0,0,"","","NOMINAL",,,,
235,1,0,0,0,"","","NOMINAL",1,,,
236,1,0,0,0,"","","NOMINAL",1,,,
237,1,0,0,0,"","","NOMINAL",1,,,
238,1,0,0,0,"","","NOMINAL",1,,,
239,1,0,0,0,"","","NOMINAL",1,,,
240,1,0,0,0,"","","NOMINAL",1,,,
241,1,0,0,0,"","","NOMINAL",1,,,
242,1,0,0,0,"","","NOMINAL",1,,,
243,1,0,0,0,"","","NOMINAL",1,,,
244,0,0,0,0,"","","NOMINAL",0,,,
245,0,0,0,0,"","","NOMINAL",0,,,
246,0,0,0,0,"","","NOMINAL",0,,,
247,0,0,0,0,"","","NOMINAL",0,,,
248,0,0,0,0,"","","NOMINAL",0,,,
249,1,0,0,0,"","","NOMINAL",,,,
250,1,0,0,0,"","","NOMINAL",,,,
251,1,0,0,0,"","","NOMINAL",,,,
252,1,0,0,0,"","","NOMINAL",,,,
253,1,0,0,0,"","","NOMINAL",1,,,
254,1,0,0,0,"","","NOMINAL",1,,,
255,1,0,0,0,"","","NOMINAL",1,,,
256,1,0,0,0,"","","NOMINAL",1,,,
257,1,0,0,0,"","","NOMINAL",1,,,
258,1,0,0,0,"","","NOMINAL",1,,,
259,1,0,0,0,"","","NOMINAL",1,,,
260,1,0,0,0,"","","NOMINAL",1,,,
261,1,0,0,0,"","","NOMINAL",1,,,
262,0,0,0,0,"","","NOMINAL",0,,,
263,0,0,0,0,"","","NOMINAL",0,,,
264,0,0,0,0,"","","NOMINAL",0,,,
265,0,0,0,0,"","","NOMINAL",0,,,
266,0,0,0,0,"","","NOMINAL",0,,,
267,0,0,0,0,"","","NOMINAL",0,,,
268,0,0,0,0,"","","NOMINAL",0,,,
269,1,0,0,0,"","","NOMINAL",,,,
