PKDATAROWID,FLGEXSDE,FLGEXKEL,FLGEXAUC,FLGEXST,NDOSEI,PKPCOM,MIDPNTN,MIDPNTA,MIDPNTNU,MIDPNTAU,RATEN,RATEA,RATENU,RATEAU
28860392,0,1,0,0,1,,,,,,,,,
28860393,0,1,0,0,1,,,,,,,,,
-28860394,0,0,0,0,1,,,,,,,,,
-28860396,0,0,0,0,1,,,,,,,,,
-28860400,0,0,0,0,1,,,,,,,,,
-28860411,0,0,0,0,1,,,,,,,,,
-28860414,0,0,0,0,1,,,,,,,,,
28860266,0,1,0,0,1,,,,,,,,,
28860267,0,0,0,0,1,,,,,,,,,
-28860269,0,0,0,0,1,,,,,,,,,
-28860270,0,0,0,0,1,,,,,,,,,
-28860272,0,0,0,0,1,,,,,,,,,
-28860276,0,0,0,0,1,,,,,,,,,
28860088,0,1,0,0,1,,,,,,,,,
28860087,0,1,0,0,1,,,,,,,,,
-28860089,0,1,0,0,1,,,,,,,,,
-28860090,0,0,0,0,1,,,,,,,,,
-28860091,0,0,0,0,1,,,,,,,,,
-28860179,0,0,0,0,1,,,,,,,,,
28860425,0,1,0,0,1,,,,,,,,,
28860426,0,1,0,0,1,,,,,,,,,
-28860427,0,1,0,0,1,,,,,,,,,
-28860431,0,0,0,0,1,,,,,,,,,
-28860438,0,0,0,0,1,,,,,,,,,
-28860424,0,0,0,0,1,,,,,,,,,
-28860436,0,0,0,0,1,,,,,,,,,
28860045,0,1,0,0,1,,,,,,,,,
28860044,0,1,0,0,1,,,,,,,,,
-28860046,0,1,0,0,1,,,,,,,,,
-28860047,0,1,0,0,1,,,,,,,,,
-28860048,0,0,0,0,1,,,,,,,,,
-28860049,0,0,0,0,1,,,,,,,,,
-28860101,0,0,0,0,1,,,,,,,,,
28860042,0,1,0,0,1,,,,,,,,,
28860041,0,0,0,0,1,,,,,,,,,
-28860043,0,0,0,0,1,,,,,,,,,
-28860100,0,0,0,0,1,,,,,,,,,
28860236,0,1,0,0,1,,,,,,,,,
28860237,0,1,0,0,1,,,,,,,,,
-28860238,0,0,0,0,1,,,,,,,,,
-28860241,0,0,0,0,1,,,,,,,,,
-28860243,0,0,0,0,1,,,,,,,,,
-28860250,0,0,0,0,1,,,,,,,,,
-28860228,0,0,0,0,1,,,,,,,,,
28860316,0,1,0,0,1,,,,,,,,,
28860317,0,1,0,0,1,,,,,,,,,
-28860318,0,1,0,0,1,,,,,,,,,
-28860320,0,0,0,0,1,,,,,,,,,
-28860322,0,0,0,0,1,,,,,,,,,
-28860326,0,0,0,0,1,,,,,,,,,
28860051,0,1,0,0,1,No terminal phase,,,,,,,,
28860050,0,1,0,0,1,No terminal phase,,,,,,,,
-28860052,0,1,0,0,1,No terminal phase,,,,,,,,
-28860053,0,1,0,0,1,No terminal phase,,,,,,,,
-28860054,0,1,0,0,1,No terminal phase,,,,,,,,
-28860102,0,1,0,0,1,No terminal phase,,,,,,,,
28860056,0,1,0,0,1,,,,,,,,,
28860055,0,1,0,0,1,,,,,,,,,
-28860057,0,1,0,0,1,,,,,,,,,
-28860058,0,0,0,0,1,,,,,,,,,
-28860059,0,0,0,0,1,,,,,,,,,
-28860060,0,0,0,0,1,,,,,,,,,
28860335,0,1,0,0,1,Last sample 72 hours,,,,,,,,
28860336,0,1,0,0,1,Last sample 72 hours,,,,,,,,
-28860338,0,1,0,0,1,Last sample 72 hours,,,,,,,,
-28860339,0,1,0,0,1,Last sample 72 hours,,,,,,,,
28860074,0,1,0,0,1,,,,,,,,,
28860073,0,1,0,0,1,,,,,,,,,
-28860076,0,1,0,0,1,,,,,,,,,
-28860072,0,0,0,0,1,,,,,,,,,
-28860075,0,0,0,0,1,,,,,,,,,
-28860077,0,0,0,0,1,,,,,,,,,
-28860106,0,0,0,0,1,,,,,,,,,
28860300,0,1,0,0,1,,,,,,,,,
28860301,0,0,0,0,1,,,,,,,,,
-28860302,0,0,0,0,1,,,,,,,,,
-28860303,0,0,0,0,1,,,,,,,,,
-28860289,0,0,0,0,1,,,,,,,,,
28860021,0,1,0,0,1,,,,,,,,,
28860020,0,1,0,0,1,,,,,,,,,
-28860022,0,1,0,0,1,,,,,,,,,
-28860023,0,1,0,0,1,,,,,,,,,
-28860024,0,0,0,0,1,,,,,,,,,
-28860025,0,0,0,0,1,,,,,,,,,
-28860095,0,0,0,0,1,,,,,,,,,
28860441,0,1,0,0,1,,,,,,,,,
28860442,0,0,0,0,1,,,,,,,,,
-28860443,0,0,0,0,1,,,,,,,,,
-28860448,0,0,0,0,1,,,,,,,,,
-28860453,0,0,0,0,1,,,,,,,,,
-28860450,0,0,0,0,1,,,,,,,,,
28860350,0,1,0,0,1,Last sample 168 hours,,,,,,,,
28860351,0,0,0,0,1,Last sample 168 hours,,,,,,,,
-28860352,0,0,0,0,1,Last sample 168 hours,,,,,,,,
-28860354,0,0,0,0,1,Last sample 168 hours,,,,,,,,
-28860356,0,0,0,0,1,Last sample 168 hours,,,,,,,,
28860037,0,1,0,0,1,,,,,,,,,
28860036,0,1,0,0,1,,,,,,,,,
-28860038,0,0,0,0,1,,,,,,,,,
-28860039,0,0,0,0,1,,,,,,,,,
-28860040,0,0,0,0,1,,,,,,,,,
-28860099,0,0,0,0,1,,,,,,,,,
28860065,0,1,0,0,1,,,,,,,,,
28860064,0,1,0,0,1,,,,,,,,,
-28860066,0,1,0,0,1,,,,,,,,,
-28860067,0,0,0,0,1,,,,,,,,,
-28860068,0,0,0,0,1,,,,,,,,,
-28860069,0,0,0,0,1,,,,,,,,,
-28860103,0,0,0,0,1,,,,,,,,,
28860009,0,1,0,0,1,,,,,,,,,
28860008,0,1,0,0,1,,,,,,,,,
-28860010,0,0,0,0,1,,,,,,,,,
-28860011,0,0,0,0,1,,,,,,,,,
-28860012,0,0,0,0,1,,,,,,,,,
-28860013,0,0,0,0,1,,,,,,,,,
-28860093,0,0,0,0,1,,,,,,,,,
28860004,0,1,0,0,1,,,,,,,,,
28860003,0,0,0,0,1,,,,,,,,,
-28860005,0,0,0,0,1,,,,,,,,,
-28860006,0,0,0,0,1,,,,,,,,,
-28860007,0,0,0,0,1,,,,,,,,,
-28860092,0,0,0,0,1,,,,,,,,,
-28860034,0,0,0,0,1,,,,,,,,,
-28860035,0,0,0,0,1,,,,,,,,,
-28860098,0,0,0,0,1,,,,,,,,,
28860031,0,1,0,0,1,,,,,,,,,
28860030,0,1,0,0,1,,,,,,,,,
-28860032,0,0,0,0,1,,,,,,,,,
-28860033,0,0,0,0,1,,,,,,,,,
28860081,0,1,0,0,1,,,,,,,,,
28860080,0,1,0,0,1,,,,,,,,,
-28860082,0,1,0,0,1,,,,,,,,,
-28860083,0,0,0,0,1,,,,,,,,,
-28860084,0,0,0,0,1,,,,,,,,,
-28860108,0,0,0,0,1,,,,,,,,,
28860079,1,1,1,0,1,,,,,,,,,
28860018,1,1,1,0,1,,,,,,,,,
-28860107,1,1,1,0,1,,,,,,,,,
28860187,1,1,1,0,1,,,,,,,,,
28860188,1,1,1,0,1,,,,,,,,,
28860017,1,1,1,0,1,,,,,,,,,
28860016,1,1,1,0,1,,,,,,,,,
28860027,1,1,1,0,1,,,,,,,,,
28860026,1,1,1,0,1,,,,,,,,,
-28860096,1,1,1,0,1,,,,,,,,,
28860062,1,1,1,0,1,,,,,,,,,
28860061,1,1,1,0,1,,,,,,,,,
-28860063,1,1,1,0,1,,,,,,,,,
28860015,1,1,1,0,1,,,,,,,,,
28860014,1,1,1,0,1,,,,,,,,,
-28860094,1,1,1,0,1,,,,,,,,,
28860029,1,1,1,0,1,,,,,,,,,
28860028,1,1,1,0,1,,,,,,,,,
-28860097,1,1,1,0,1,,,,,,,,,
28860071,1,1,1,0,1,,,,,,,,,
28860070,1,1,1,0,1,,,,,,,,,
-28860104,1,1,1,0,1,,,,,,,,,
28860086,1,1,1,0,1,,,,,,,,,
28860085,1,1,1,0,1,,,,,,,,,
28860019,1,1,1,0,1,,,,,,,,,
28860078,1,1,1,0,1,,,,,,,,,
