PKDATAROWID,FLGEXSDE,FLGEXKEL,FLGEXAUC,FLGEXST,NDOSEI,PKPCOM,MIDPNTN,MIDPNTA,MIDPNTNU,MIDPNTAU,RATEN,RATEA,RATENU,RATEAU
33239219,0,1,0,0,1,,,,,,,,,
33239220,0,1,0,0,1,,,,,,,,,
33239221,0,1,0,0,1,,,,,,,,,
33239223,0,1,0,0,1,,,,,,,,,
33239225,0,1,0,0,1,,,,,,,,,
33239227,0,1,0,0,1,,,,,,,,,
33239228,0,1,0,0,1,,,,,,,,,
33239229,0,1,0,0,1,,,,,,,,,
33239230,0,1,0,0,1,,,,,,,,,
33239231,0,1,0,0,1,,,,,,,,,
33239232,0,1,0,0,1,,,,,,,,,
33239233,0,1,0,0,1,,,,,,,,,
33239234,0,1,0,0,1,,,,,,,,,
33239235,0,1,0,0,1,,,,,,,,,
33239236,0,0,0,0,1,,,,,,,,,
33239237,0,0,0,0,1,,,,,,,,,
33239238,0,0,0,0,1,,,,,,,,,
33239577,0,1,0,0,1,,,,,,,,,
33239578,0,1,0,0,1,,,,,,,,,
33239579,0,1,0,0,1,,,,,,,,,
33239581,0,1,0,0,1,,,,,,,,,
33239583,0,1,0,0,1,,,,,,,,,
33239585,0,1,0,0,1,,,,,,,,,
33239587,0,1,0,0,1,,,,,,,,,
33239588,0,1,0,0,1,,,,,,,,,
33239589,0,1,0,0,1,,,,,,,,,
33239590,0,1,0,0,1,,,,,,,,,
33239591,0,1,0,0,1,,,,,,,,,
33239592,0,1,0,0,1,,,,,,,,,
33239593,0,1,0,0,1,,,,,,,,,
33239594,0,0,0,0,1,,,,,,,,,
33239595,0,0,0,0,1,,,,,,,,,
33239596,0,0,0,0,1,,,,,,,,,
33238543,0,1,0,0,1,,,,,,,,,
33238545,0,1,0,0,1,,,,,,,,,
33238546,0,1,0,0,1,,,,,,,,,
33238547,0,1,0,0,1,,,,,,,,,
33238548,0,1,0,0,1,,,,,,,,,
33238549,0,1,0,0,1,,,,,,,,,
33238550,0,1,0,0,1,,,,,,,,,
33238551,0,1,0,0,1,,,,,,,,,
33238552,0,1,0,0,1,,,,,,,,,
33238553,0,1,0,0,1,,,,,,,,,
33238554,0,1,0,0,1,,,,,,,,,
33238555,0,1,0,0,1,,,,,,,,,
33238556,0,1,0,0,1,,,,,,,,,
33238557,0,0,0,0,1,,,,,,,,,
33238558,0,0,0,0,1,,,,,,,,,
33238559,0,0,0,0,1,,,,,,,,,
33238560,0,1,0,0,1,,,,,,,,,
33238819,0,1,0,0,1,,,,,,,,,
33238820,0,1,0,0,1,,,,,,,,,
33238821,0,1,0,0,1,,,,,,,,,
33238823,0,1,0,0,1,,,,,,,,,
33238825,0,1,0,0,1,,,,,,,,,
33238827,0,1,0,0,1,,,,,,,,,
33238828,0,1,0,0,1,,,,,,,,,
33238829,0,1,0,0,1,,,,,,,,,
33238830,0,1,0,0,1,,,,,,,,,
33238831,0,1,0,0,1,,,,,,,,,
33238832,0,1,0,0,1,,,,,,,,,
33238833,0,1,0,0,1,,,,,,,,,
33238834,0,1,0,0,1,,,,,,,,,
33238835,0,0,0,0,1,,,,,,,,,
33238836,0,0,0,0,1,,,,,,,,,
33238837,0,0,0,0,1,,,,,,,,,
33238838,0,0,0,0,1,,,,,,,,,
33239497,0,1,0,0,1,,,,,,,,,
33239498,0,1,0,0,1,,,,,,,,,
33239499,0,1,0,0,1,,,,,,,,,
33239501,0,1,0,0,1,,,,,,,,,
33239503,0,1,0,0,1,,,,,,,,,
33239505,0,1,0,0,1,,,,,,,,,
33239506,0,1,0,0,1,,,,,,,,,
33239507,0,1,0,0,1,,,,,,,,,
33239508,0,1,0,0,1,,,,,,,,,
33239509,0,1,0,0,1,,,,,,,,,
33239510,0,1,0,0,1,,,,,,,,,
33239511,0,1,0,0,1,,,,,,,,,
33239512,0,0,0,0,1,,,,,,,,,
33239513,0,0,0,0,1,,,,,,,,,
33239514,0,0,0,0,1,,,,,,,,,
33239515,0,0,0,0,1,,,,,,,,,
33239516,0,0,0,0,1,,,,,,,,,
33238779,0,1,0,0,1,,,,,,,,,
33238780,0,1,0,0,1,,,,,,,,,
33238781,0,1,0,0,1,,,,,,,,,
